,EventTemplate,Occurrences
0,"printFreezingDisplayLogsopening app wtoken = AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}}, allDrawn= false, startingDisplayed =  false, startingMoved =  false, isRelaunching =  false",1
1,"acquire lock=..., flags=..., tag=..., name=..., ws=..., uid=..., pid=...",8
2,"ready={ready},policy={policy},wakefulness={wakefulness},wksummary={wksummary},uasummary={uasummary},bootcompleted={bootcompleted},boostinprogress={boostinprogress},waitmodeenable={waitmodeenable},mode={mode},manual={manual},auto={auto},adj={adj}userId={userId}",199
3,Skipping AppWindowToken{token} -- going to hide,2
4,visible is system.time.showampm,1
5,mVisiblity.getValue is false,5
6,visible is system.charge.show,1
7,visible is system.call.count gt 0,1
8,visible is system.message.count gt 0,1
9,visible is system.ownerinfo.show,1
10,"release:lock=233570404, flg=0x0, tag=""View Lock"", name=com.android.systemui"", ws=null, uid=10037, pid=2227",1
11,"updateClipping isOverlap:{isOverlap}, getTopPadding={getTopPadding}, Translation={Translation}",65
12,updateDimmedActivatedHideSensitive overlap:false,52
13,getRunningAppProcesses: caller 10113 does not hold REAL_GET_TASKS; limiting output,24
14,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",3
15,"setSystemUiVisibility vis={vis} mask={mask} oldVal={oldVal} newVal={newVal} diff={diff} fullscreenStackVis={fullscreenStackVis} dockedStackVis={dockedStackVis}, fullscreenStackBounds=Rect({fullscreenStackBounds}), dockedStackBounds=Rect({dockedStackBounds})",200
16,cancelAutohide,15
17,"notifyUiVisibilityChanged:vis={vis}, SystemUiVisibility={SystemUiVisibility}",19
18,Destroying surface Surface(name={name}) called by {caller}:942 {performDeferredDestroyWindow}:3407 {performDeferredDestroy}:225 android.view.IWindowSession$Stub.onTransact:398 {onTransact}:136 android.os.Binder.execTransact:565 <bottom of call stack> <bottom of call,1
19,Destroying surface Surface(name={name}) called by {caller},17
20,"release:lock={lock}, flg={flg}, tag=""{tag}"", name={name}"", ws={ws}, uid={uid}, pid={pid}",17
21,"userActivityNoUpdateLocked: eventTime={eventTime}, event={event}, flags={flags}, uid={uid}",69
22,"orientation change is complete, call stopFreezingDisplayLocked",1
23,Screen frozen for +{duration}s{ms} due to {window},1
24,startAnimation begin,1
25,startAnimation end,1
26,remove(PendingIntent{19abed0: PendingIntentRecord{a485420 com.tencent.qt.qtl broadcastIntent}}) changed bounds; rebatching,1
27,"rotationForOrientationLw(orient={orient}, last={last}); user={user} USER_ROTATION_LOCKED",3
28,"Application requested orientation 1, got rotation 0 which has compatible metrics",2
29,shouldBlockLocation running ...,37
30,shouldBlockLocation  ret:false,33
31,getNeighboringCellInfo calling app is com.amap.android.ams,5
32,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
33,HBM brightnessIn ={brightnessIn},85
34,HBM brightnessOut ={brightnessOut},85
35,"Animating brightness: target={target}, rate={rate}",85
36,suspendAutohide,23
37,interceptKeyTq keycode={keycode} interactive={interactive} keyguardActive={keyguardActive} policyFlags={policyFlags} down {down} canceled {canceled},14
38,"interceptKeyBeforeQueueing: key {key} , result : {result}",14
39,resumeSuspendedAutohide,10
40,querySoundEffectsEnabled...,17
41,"acquire lock={lock}, flags={flags}, tag=""{tag}"", name={name}, ws={ws}, uid={uid}, pid={pid}",18
42,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
43,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
44,Bad activity token: {token},1
45,java.lang.ClassCastException: android.os.BinderProxy cannot be cast to com.android.server.am.ActivityRecord$Token,1
46,"onTouchEvent::0, x={x}, y={y}",1
47,schedulePeek,1
48,getRingtonePlayer...,2
49,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
50,"updateLightsLocked,mInCall ={mInCall},mScreenOn = {mScreenOn},ledNotification == {ledNotification}",6
51,"updateLightsLocked,turn off notificationLight",6
52,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen}",11
53,"state.clipTopAmount:{clipTopAmount}, i:{i}",13
54,updateDimmedActivatedHideSensitive overlap:true,13
55,onExpandingStarted,2
56,onTrackingStarted,1
57,"overlapAmount:{overlapAmount}, previousNotificationEnd:{previousNotificationEnd}, newYTranslation:{newYTranslation}, location:{location}, i:{i}, getTopPadding:{getTopPadding}, getLocationOnScreen():{getLocationOnScreen()}",2
