,EventTemplate,Occurrences
0,PacketResponder {responder_id} for block {block} terminating,281
1,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip}:{port} is added to {block} size {size},253
2,Received block {block} of size {size} from {source},292
3,Receiving block {block} src: {source} dest: {destination},292
4,BLOCK* NameSystem.allocateBlock: {path} {block},115
5,Verification succeeded for {block},20
6,BLOCK* NameSystem.addStoredBlock: blockMap updated: {node} is added to {block} size {size},40
7,PacketResponder 1 for block {block} terminating,8
8,PacketResponder 0 for block {block} terminating,22
9,Deleting block {block} file {path},125
10, {ip_address} Served block {block} to {destination},2
11, {ip}:{port} Served block {block} to {destination},56
12,10.251.30.85:50010:Got exception while serving {block} to /{ip}:,2
13,10.251.126.255:50010:Got exception while serving {block} to /{ip}:,3
14,10.251.123.132:50010:Got exception while serving {block} to /{ip}:,2
15,10.250.13.188:50010:Got exception while serving {block} to /{ip}:,1
16, {ip}:{port}:Got exception while serving {block} to /{destination}:,2
17, {ip}:{port}:Got exception while serving {block} to {destination},4
18,10.251.202.134:50010:Got exception while serving {block} to /{ip_address}:,1
19,10.250.6.214:50010 Served block {block} to {destination},1
20,10.250.14.196:50010:Got exception while serving {block} to /{ip}:,2
21,10.251.107.227:50010:Got exception while serving {block} to /{ip}:,1
22, {source} Served block {block} to {destination},14
23,10.251.90.64:50010:Got exception while serving {block} to /{destination}:,1
24,10.250.10.144:50010:Got exception while serving {block} to /{ip}:,1
25,10.251.71.146:50010:Got exception while serving {block} to /{ip},1
26,10.251.67.113:50010:Got exception while serving {block} to /{ip}:,1
27,10.251.74.79:50010:Got exception while serving {block} to /{ip}:,1
28,10.251.214.112:50010:Got exception while serving {block} to /10.251.214.112:,1
29,10.251.43.210:50010:Got exception while serving {block} to /{ip},1
30,10.251.73.220:50010:Got exception while serving {block} to /{ip}:,1
31,10.251.73.188:50010:Got exception while serving {block} to /{destination}:,1
32,10.251.35.1:50010:Got exception while serving {block} to /10.251.122.38:,1
33,10.251.90.134:50010:Got exception while serving {block} to /{ip}:,1
34,BLOCK* NameSystem.addStoredBlock: blockMap updated: {datanode} is added to {block} size {size},17
35,BLOCK* NameSystem.delete: {block} is added to invalidSet of {ip}:{port},224
36,10.251.67.225:50010:Got exception while serving {block} to /{ip}:,1
37,10.251.31.5:50010:Got exception while serving {block} to /{ip_address}:,1
38,10.251.26.8:50010:Got exception while serving {block} to /{ip}:,3
39,10.250.10.6:50010 Served block {block} to {destination},1
40,10.250.19.16:50010 Served block {block} to {destination},1
41,10.251.214.112:50010 Served block {block} to {destination},1
42,10.251.38.214:50010:Got exception while serving {block} to /{ip}:,1
43,{source} Served block {block} to {destination},2
44,10.251.42.246:50010:Got exception while serving {block} to /{ip}:,2
45,10.251.111.130:50010:Got exception while serving {block} to /{ip}:,1
46,10.251.123.1:50010:Got exception while serving {block} to /{ip},1
47,10.251.90.239:50010:Got exception while serving {block} to /{ip}:,1
48,10.251.66.102:50010:Got exception while serving {block} to /10.251.66.102:,1
49,10.251.31.5:50010:Got exception while serving {block} to /10.251.123.1:,1
50,10.250.17.225:50010:Got exception while serving {block} to /{ip},1
51,10.251.215.70:50010:Got exception while serving {block} to /{ip}:,2
52,10.250.15.198:50010:Got exception while serving {block} to /{ip}:,1
53,10.251.198.33:50010:Got exception while serving {block} to /{ip},1
54,10.250.19.227:50010:Got exception while serving {block} to /{ip}:,1
55,10.251.70.112:50010:Got exception while serving {block} to /10.251.74.79:,1
56,10.251.215.16:50010:Got exception while serving {block} to /{ip},1
57,10.251.107.50:50010:Got exception while serving {block} to /{ip}:,1
58,10.251.70.211:50010:Got exception while serving {block} to /10.251.203.179:,1
59,10.251.126.22:50010:Got exception while serving {block} to /{ip}:,1
60,10.250.6.191:50010 Served block {block} to {destination},1
61,10.251.70.211:50010:Got exception while serving {block} to /{ip}:,1
62,10.251.125.193:50010:Got exception while serving {block} to /{ip}:,1
63,Deleting block {block} file {file},138
64,10.251.70.5:50010:Got exception while serving {block} to /{ip}:,1
65,10.251.74.79:50010:Got exception while serving {block} to /{ip_address}:,1
66,10.250.13.188:50010:Got exception while serving {block} to /{ip_address}:,1
67,10.251.42.16:50010:Got exception while serving {block} to /{ip}:,1
68,10.251.71.240:50010:Got exception while serving {block} to /{ip}:,1
69,10.251.122.38:50010:Got exception while serving {block} to /{ip}:,1
70,10.251.197.226:50010:Got exception while serving {block} to /{ip}:,1
71,10.251.26.177:50010:Got exception while serving {block} to /{ip_address}:,1
72,10.251.39.179:50010:Got exception while serving {block} to /{ip_address}:,1
73,10.250.10.100:50010 Served block {block} to {destination},1
74,10.251.70.37:50010:Got exception while serving {block} to /{ip_address}:,1
75,10.251.214.130:50010:Got exception while serving {block} to /{ip}:,1
76,10.251.195.33:50010:Got exception while serving {block} to /10.251.195.33:,1
77,10.250.11.53:50010:Got exception while serving {block} to /{ip},1
78,10.250.10.223:50010:Got exception while serving {block} to /{ip}:,1
79,10.251.107.50:50010:Got exception while serving {block} to /{destination}:,1
80,10.250.10.223:50010:Got exception while serving {block} to /10.250.5.161:,1
81,10.251.39.179:50010:Got exception while serving {block} to /{ip}:,1
82,10.251.127.243:50010:Got exception while serving {block} to /{ip}:,1
83,{source} Starting thread to transfer block {block} to {destination},1
84,BLOCK* ask {ip}:{port} to delete {block},1
85,BLOCK* ask {ip}:{port} to delete  {block},1
86,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address} is added to {block} size {size},3
87,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip} is added to {block} size {size},1
88,10.251.75.143:50010:Got exception while serving {block} to /{ip}:,1
89,10.251.126.227:50010:Got exception while serving {block} to /{ip}:,1
90,10.250.7.230:50010:Got exception while serving {block} to /{ip}:,1
91,10.251.214.175:50010:Got exception while serving {block} to /10.251.105.189:,1
92,10.251.39.144:50010:Got exception while serving {block} to /{ip}:,1
93,10.250.7.32:50010:Got exception while serving {block} to /{ip}:,1
94,10.251.107.98:50010:Got exception while serving {block} to /{ip}:,1
95,Received block {block} src: {source} dest: {destination} of size {size},2
96,BLOCK* ask {ip}:{port} to delete {blocks},2
97,BLOCK* ask {ip} to delete {blocks},1
98,BLOCK* ask {source} to replicate {block} to datanode(s) {destination},1
