,EventTemplate,Occurrences
0,Session: <*> initialized by client <*>.,609
1,"Read out cached package applicability for package: <*>, ApplicableState: <*>, CurrentState:<*>",558
2,Warning: Unrecognized packageExtended attribute.,280
3,Failed to get next element [HRESULT = 0x800f080d - CBS_E_MANIFEST_INVALID_ITEM],224
4,Expecting attribute name [HRESULT = <*> - <*>],214
5,Failed to internally open package. [HRESULT = 0x800f0805 - CBS_E_INVALID_PACKAGE],18
6,Expecting attribute name [HRESULT = <*> - CBS_E_MANIFEST_INVALID_ITEM],10
7,<*>@2016/9/28:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),3
8,Loaded Servicing Stack v6.<*> with Core: <*>,2
9,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @<*> @<*> @<*> @<*> @<*> @<*>),2
10,Ending TrustedInstaller initialization.,2
11,Starting the TrustedInstaller main loop.,2
12,TrustedInstaller service starts successfully.,2
13,SQM: Initializing online with Windows opt-in: <*>,2
14,SQM: Cleaning up report files older than <*> days.,2
15,SQM: Requesting upload of all unsent reports.,2
16,"SQM: Failed to start upload with file pattern: <*>, flags: <*> [HRESULT = <*>]",2
17,SQM: Failed to start standard sample upload. [HRESULT = 0x80004005 - E_FAIL],2
18,"SQM: Queued <*> file(s) for upload with pattern: <*>, flags: <*>",2
19,SQM: Warning: Failed to upload all unsent reports. [HRESULT = 0x80004005 - E_FAIL],2
20,"No startup processing required, TrustedInstaller service was not set as autostart, or else a reboot is still pending.",2
21,NonStart: Checking to ensure startup processing was not required.,2
22,"<*> Creating NT transaction (seq <*>), objectname [<*>]""(<*>)""",2
23,"NonStart: Success, startup processing not required as expected.",2
24,Startup processing thread terminated normally,2
25,Failed to create backup log cab. [HRESULT = 0x80070001 - ERROR_INVALID_FUNCTION],2
26,"Loading offline registry hive: <*>, into registry key '<*>' from path '<*>'.",2
27,Unloading offline registry hive: <*>,2
28,<*>@2016/9/27:<*> WcpInitialize (wcp.dll version <*>) called (stack @0x7fed806eb5d @0x7fef9fb9b6d @0x7fef9f8358f @0xff83e97c @0xff83d799 @0xff83db2f),1
29,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0xb6fd90",1
30,"<*> Created NT transaction (seq <*>) result 0x00000000, handle @0x214",1
31,<*>@2016/9/27:<*> CSI perf trace:,1
32,<*> CSI Store <*> (0x00000000004c29e0) initialized,1
33,Reboot mark refs incremented to: <*>,1
34,Scavenge: Starts,1
35,"<*>@2016/9/27:<*> CSI Transaction @0x47e9e0 initialized for deployment engine <*> with flags <*> and client id [<*>]""TI6.0_0:0/""",1
36,Scavenge: Begin CSI Store,1
37,0000000a Performing <*> operations; <*> are not lock/unlock and follow:,1
38,"0000000b Store coherency cookie matches last scavenge cookie, skipping scavenge.",1
39,0000000c ICSITransaction::Commit calling IStorePendingTransaction::Apply - coldpatching=<*> applyflags=<*>,1
40,"0000000d Creating NT transaction (seq <*>), objectname [<*>]""(<*>)""",1
41,"0000000e Created NT transaction (seq <*>) result 0x00000000, handle @0xb8",1
42,0000000f@2016/9/27:<*> CSI perf trace:,1
43,"Scavenge: Completed, disposition: 0X1",1
44,<*>@2016/9/27:<*> CSI Transaction @0x47e9e0 destroyed,1
45,Reboot mark refs: <*>,1
46,Idle processing thread terminated normally,1
47,Ending the TrustedInstaller main loop.,1
48,Starting TrustedInstaller finalization.,1
49,Ending TrustedInstaller finalization.,1
50,Starting TrustedInstaller initialization.,1
51,"<*> IAdvancedInstallerAwareStore_ResolvePendingTransactions (call <*>) (flags = <*>, progress = <*>, phase = <*>, pdwDisposition = @0x116fa70",1
52,"<*> Created NT transaction (seq <*>) result 0x00000000, handle @0x218",1
53,<*>@2016/9/28:<*> CSI perf trace:,1
54,"Loading offline registry hive: SYSTEM, into registry key '<*>' from path '<*>'.",1
55,"Loading offline registry hive: SECURITY, into registry key '<*>' from path '<*>'.",1
56,"Loading offline registry hive: SAM, into registry key '<*>' from path '<*>'.",1
57,"Loading offline registry hive: COMPONENTS, into registry key '<*>' from path '<*>'.",1
58,"Loading offline registry hive: ntuser.dat, into registry key '<*>' from path '<*>'.",1
59,"Loading offline registry hive: schema.dat, into registry key '<*>' from path '<*>'.",1
60,Offline image is: read-only,1
61,"Disabling manifest caching, because the image is not writeable.",1
62,<*>@2016/9/28:<*> PopulateComponentFamiliesKey - Begin,1
63,<*>@2016/9/28:<*> PopulateComponentFamiliesKey - End,1
64,0000000a CSI Store <*> (0x000000000105d5b0) initialized,1
65,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SOFTWARE,1
66,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SYSTEM,1
67,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/SAM,1
68,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/System32/config/DEFAULT,1
69,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Users/default/ntuser.dat,1
70,Unloading offline registry hive: <*>GLOBALROOT/Device/HarddiskVolumeShadowCopy2/Windows/system32/smi/store/Machine/schema.dat,1
71,0000000b CSI Store <*> (0x00000000002ec640) initialized,1
