,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=Rect(<*>), dockedStackBounds=Rect(<*>)",200
1,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",199
2,setLightsOn(<*>),181
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,getRunningAppProcesses: caller <*> does not hold REAL_GET_TASKS; limiting output,81
7,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,"Skipping, withExcluded: <*>, tr.intent:<*>",63
11,shouldBlockLocation running ...,37
12,shouldBlockLocation ret:<*>,37
13,getTasks: caller <*> does not hold REAL_GET_TASKS; limiting output,37
14,"Releasing suspend blocker ""PowerManagerService.WakeLocks"".",33
15,"Acquiring suspend blocker ""PowerManagerService.WakeLocks"".",33
16,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
17,suspendAutohide,23
18,cancelPeek: <*>,20
19,"cancelNotification,index:-<*>",20
20,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
21,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>"", ws=<*>, uid=<*>, pid=<*>",17
22,querySoundEffectsEnabled...,17
23,Destroying surface Surface(name=<*>) called by <*>,16
24,cancelAutohide,15
25,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
26,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
27,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
28,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
29,"updateNotificationShade: total=<*>, active=<*>",13
30,"state.clipTopAmount:<*>, i:<*>",12
31,removeNotificationChildren,12
32,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",12
33,closeQs,12
34,isMusicActive...,12
35,resumeSuspendedAutohide,10
36,playSoundEffect effectType: <*>,10
37,instantCollapse,9
38,getLastAudibleStreamVolume treamType: <*>,9
39,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
40,getRecentTasks: topActivity=ComponentInfo{com.tencent.mobileqq/com.tencent.mobileqq.activity.SplashActivity},8
41,"cancelNotificationWithTag pid <*>,uid =<*>,tag =<*>,pkg =<*>,id =<*>",8
42,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
43,"updateLightsLocked,turn off notificationLight",6
44,logNotificationVisibilityChanges runInThread start,6
45,onNotificationVisibilityChanged called,6
46,logNotificationVisibilityChanges runInThread over,6
47,The change in focus caused us to need to do a layout begin,6
48,The change in focus caused us to need to do a layout end,6
49,cleanUpApplicationRecord -- <*>,6
50,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
51,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
52,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
53,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
54,mVisiblity.getValue is <*>,5
55,getNeighboringCellInfo calling app is com.amap.android.ams,5
56,Destroying surface Surface(name=PopupWindow:317e46) called by com.android.server.wm.WindowStateAnimator.destroySurface:<*> com.android.server.wm.WindowStateAnimator.destroySurfaceLocked:<*> com.android.server.wm.WindowState.removeLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowInnerLocked:<*> com.android.server.wm.WindowManagerService.removeWindowLocked:<*> com.android.server.wm.WindowManagerService.rem,5
57,"release:lock=... flg=... tag=""..."" name=<*>"", ws=<*>, uid=<*>, pid=<*>",4
58,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]={id[<*>]}, x[<*>]={x[<*>]}, y[<*>]={y[<*>]}, toolType[<*>]={toolType[<*>]}, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",4
59,"Taking screenshot from Surface with crop:[<*>], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
60,makeExpandedInvisible: mExpandedVisible=<*>,4
61,"ActivityManagerService,attachApplication,callingPid = <*>",4
62,"sending alarm Alarm{$<*> type $<*> when $<*> PendingIntent{$<*>}},repeatInterval = $<*>,listenerTag =$<*>",4
63,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",4
64,mHeadsUpExistenceChangedRunnable,4
65,getRecentTasks: topActivity=ComponentInfo{com.example.android.notepad/com.example.android.notepad.NoteEditor},4
66,disable: < expand ICONS* alerts SYSTEM_INFO* back home recent clock navigationbar search quick_settings >,3
67,registerCallback not in UI.,3
68,android.util.AndroidRuntimeException: Must execute in UI,3
69,"cancelNotification,index:<*>",3
70,disable: < expand icons* alerts system_info* back home recent clock navigationbar search quick_settings >,3
71,Received TIME_TICK alarm; rescheduling,3
72,scheduleTimeTickEvent triggerAtTime = <*>,3
73,received broadcast android.intent.action.TIME_TICK,3
74,handleTimeUpdate,3
75,Destroying surface Surface(name=InputMethod) called by <*>,3
76,getRingerMode...,3
77,getAllCellInfo is blocked by permission manager . callingPackage = com.tencent.mobileqq,3
78,Skipping AppWindowToken{token=<*> ActivityRecord=<*>} -- going to hide,2
79,"Application requested orientation <*>, got rotation <*> which has compatible metrics",2
80,Skipping AppWindowToken{9f4ef63 token=Token{a64f992 ActivityRecord{de9231d u0 com.tencent.qt.qtl/.activity.info.NewsDetailXmlActivity t761}}} -- going to hide,2
81,"onTouchEvent::<*>, x=<*>, y=<*>",2
