,EventTemplate,Occurrences
0,{host} open through proxy {proxy_server} HTTPS,821
1,"{host} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {lifetime}",297
2,"{host} close, {sent_size} sent, {received_size} received, lifetime {lifetime}",631
3,{ip_address} open through proxy {host} SOCKS5,2
4,{host} error : A connection request was canceled before the completion.,31
5,{host} error : Could not connect through proxy {proxy_server} - Proxy closed the connection unexpectedly.,2
6,"{ip_address}:{port} close, {sent_size} sent, {received_size} received, lifetime {lifetime}",3
7,{ip_address}:{port} open through proxy {proxy_server} {protocol},8
8,{host}:{port} open through proxy {proxy_server} {protocol},117
9,"{host} close, {sent_size} bytes sent, {received_size} received, lifetime {lifetime}",6
10,"{host} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",14
11,"{ip_address}:{port} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {lifetime}",4
12,{ip_address}:{port} error : Could not connect through proxy {proxy_server} - Proxy closed the connection unexpectedly.,1
13,"{ip_address}:{port} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",3
14,"{host} close, {sent_size} bytes sent, {received_size} bytes ({received_size_kb} KB) received, lifetime {lifetime}",2
15,"{host}:443 close, {sent_size} sent, {received_size} received, lifetime {lifetime}",3
16,github.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,4
17,"{host}:{port} close, {sent_size} bytes sent, {received_size} bytes received, lifetime {lifetime}",1
18,{ip_address}:{port} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {error_code},4
19,{host} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {code},12
20,{host}:80 error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {code},1
21,{host} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {error_code},1
22,{host}:{port} error : Could not connect to proxy {proxy_server} - {error_message},1
23,{host}:{port} error : Could not connect to proxy {proxy_server} - Could not resolve {proxy_server} error {error_code},1
24,f-log-extension.grammarly.io:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
25,clientservices.googleapis.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,2
26,{host} error : Could not connect to proxy {proxy_server} - connection attempt failed with error {error_code},16
27,{host}:{port} error : Could not connect to proxy {proxy_server} - connection attempt failed with error {error_code},10
28,drive.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,1
