,EventTemplate,Occurrences
0,<*> open through proxy <*> HTTPS,821
1,"<*> close, <*> sent, <*> received, lifetime <*>",637
2,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",302
3,<*> open through proxy <*> <*>,125
4,<*> error : A connection request was canceled before the completion.,31
5,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,26
6,<*> error : Could not connect to proxy <*> - Could not resolve <*> error <*>,19
7,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",17
8,"<*> close, <*> bytes sent, <*> received, lifetime <*>",6
9,github.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,4
10,<*> error : Could not connect through proxy <*> - Proxy closed the connection unexpectedly.,3
11,<*> open through proxy <*> SOCKS5,2
12,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",2
13,clientservices.googleapis.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,2
14,<*> error : Could not connect to proxy <*> - <*>,1
15,f-log-extension.grammarly.io:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
16,drive.google.com:<*> open through proxy proxy.cse.cuhk.edu.hk:<*> HTTPS,1
