,EventTemplate,Occurrences
0,data_thread() got not answer from any [<*>] datasource,590
1,"synchronized to <*>, stratum <*>",568
2,<*>() got not answer from any [<*>] datasource,229
3,[ib_sm_sweep.c:<*>]: ********************** NEW SWEEP ********************,62
4,[ib_sm_sweep.c:<*>]: No configuration change required,62
5,[ib_sm_sweep.c:<*>]: No topology change,52
6,Warning: we failed to resolve data source name <*>,34
7,session closed for user <*>,24
8,session opened for user <*> by (uid=<*>),19
9,Reading included configuration file: <*> [file=<*>] [line=<*>],17
10,removing <*>,16
11,DHCPDISCOVER from <*> via <*>: <*>: no free leases,15
12,(<*>) CMD (<*>),14
13,RRD_update (<*>): illegal attempt to update using time <*> when last update time is <*> (minimum one second step),11
14,"PCI interrupt <*>[<*>] -> GSI <*> (<*>, <*>) -> IRQ <*>",11
15,[ib_sm_sweep.c:<*>]: <*>,10
16,unable to qualify my own domain name (<*>) -- using short name,10
17,DHCPREQUEST for <*> (<*>) from <*> via <*>: <*>,9
18,<*>,9
19,<*> Interrupt Routing Table [<*>],7
20,<*> from <*> via <*>,5
21,DHCPOFFER on <*> to <*> via <*>,5
22,(<*>) CMD (<*> <*>),5
23,My unqualified host name (<*>) unknown; sleeping for retry,5
24,L2 cache: <*>,5
25,Physical Processor ID: <*>,5
26,"Trace cache: <*> uops, L1 D cache: <*>",5
27,Registered protocol family <*>,5
28,<*> startup succeeded,5
29,LAPIC (acpi_id[<*>] lapic_id[<*>] enabled),4
30,Processor [<*>] (supports <*>),4
31,registered new driver <*>,4
32,connection lost: '<*>',3
33,DHCPACK on <*> to <*> via <*>,3
34,DHCPREQUEST for <*> (<*>) from <*> via <*>,3
35,(<*>),3
36,<*> (<*> <*> <*> <*> <*> <*>) @ <*>,3
37,IOAPIC (id[<*>] address[<*>] gsi_base[<*>]),3
38,<*> (acpi_id[<*>] <*> edge lint[<*>]),3
39,"<*> Interrupt Link [<*>] (IRQs <*>) <*>, <*>.",3
40,mounted filesystem with ordered data mode.,3
41,"apic_id <*>, version <*>, address <*>, GSI <*>",3
42,<*> disconnected: <*>.,2
43,<*> [<*>],2
44,<*>: <*>: <*>,2
45,Wait for ready failed before probe !,2
46,(C) <*>-<*> Netfilter core team,2
47,... autorun DONE.,2
48,Autodetecting RAID arrays.,2
49,autorun ...,2
50,"connection from ""<*>""",2
51,"User <*>, coming from <*>, authenticated.",2
52,Now running on #<*>'s privileges.,2
53,"jA9J1UvC004306: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
54,"jA9J1UvC004306: to=<*>, ctladdr=<*> (<*>/<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
55,"jA9J1Wd7019391: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
56,"jA9J1Wd7019391: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=<*> [<*>] [<*>], stat=<*>",1
57,"jA9J1WSU011176: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
58,"jA9J1WSU011176: to=<*>, ctladdr=<*> (<*>/<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
59,"jA9J1WFE024258: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>",1
60,"jA9J1WFE024258: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=[<*>] [<*>], dsn=<*>, stat=<*>",1
61,"jA9J1dQ7016560: from=<*>, size=<*>, class=<*>, nrcpts=<*>, msgid=<*>, relay=<*>@<*>",1
62,"jA9J1dQ7016560: to=<*>, ctladdr=<*> (<*>), delay=<*>, xdelay=<*>, mailer=<*>, pri=<*>, relay=<*> [<*>] [<*>], stat=<*>",1
63,START: tftp pid=<*> from=<*>,1
64,kernel time sync disabled <*>,1
65,time reset <*> s,1
66,Received SNMP packet(s) from <*>,1
67,kernel time sync enabled <*>,1
68,<*>-<*> (Kernel Module <*> key),1
69,DSDT (v001 <*> <*> <*> <*> <*>) @ <*>,1
70,HPET (v001 <*> <*> <*> <*> <*>) @ <*>,1
71,<*> id: <*> base: <*>,1
72,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> <*>),1
73,INT_SRC_OVR (bus <*> bus_irq <*> global_irq <*> <*> level),1
74,<*> enabled,1
75,<*> (acpi_id[<*>] <*> lint[<*>]),1
76,Local APIC address <*>,1
77,MADT (v001 <*> <*> <*> <*> <*>) @ <*>,1
78,MCFG (<*> <*> <*> <*> <*> <*>) @ <*>,1
79,PCI Interrupt Link [LNKA] (IRQs <*>) <*>,1
80,PCI Interrupt Link [<*>] (IRQs <*>),1
81,PCI Interrupt Link [LNKC] (IRQs <*>) <*>,1
82,"PCI Interrupt Link [LNKF] (IRQs <*>) <*>, disabled.",1
83,"PCI Interrupt Link [LNKG] (IRQs <*>) <*>, disabled.",1
84,PCI Interrupt Routing Table [<*>],1
85,<*> [<*>] (<*>),1
86,<*> (<*>) [<*>],1
87,<*> (<*> <*> ) @ <*>,1
88,Subsystem revision <*>,1
89,Using <*> for interrupt routing,1
90,<*> stepping <*>,1
91,<*> VGA+ <*>,1
92,"<*>,v <*> <*> <*> <*> Exp $",1
93,"<*> hash table of <*> buckets, <*>",1
94,<*> version: <*>,1
95,<*>=<*> initrd=<*> console=<*> console=<*> fastboot BOOT_IMAGE=<*>,1
96,Using software bounce buffering for IO (<*>),1
97,Probing PCI hardware (bus <*>),1
