,EventTemplate,Occurrences
0,"setSystemUiVisibility vis=<*> mask=<*> oldVal=<*> newVal=<*> diff=<*> fullscreenStackVis=<*> dockedStackVis=<*>, fullscreenStackBounds=<*>, dockedStackBounds=<*>",200
1,setLightsOn(<*>),181
2,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>,userId=<*>",138
3,HBM brightnessIn =<*>,85
4,HBM brightnessOut =<*>,85
5,"Animating brightness: target=<*>, rate=<*>",85
6,<*>,84
7,"userActivityNoUpdateLocked: eventTime=<*>, event=<*>, flags=<*>, uid=<*>",69
8,"updateClipping isOverlap:<*>, getTopPadding=<*>, Translation=<*>",65
9,updateDimmedActivatedHideSensitive overlap:<*>,65
10,"Skipping, withExcluded: <*>, tr.intent:<*>",63
11,"ready=<*>,policy=<*>,wakefulness=<*>,wksummary=<*>,uasummary=<*>,bootcompleted=<*>,boostinprogress=<*>,waitmodeenable=<*>,mode=<*>,manual=<*>,auto=<*>,adj=<*>=<*>",61
12,getRunningAppProcesses: caller <*> does not hold <*>; <*>,57
13,<*>...,39
14,shouldBlockLocation ret:<*>,37
15,getTasks: caller <*> does not hold <*>; limiting output,37
16,shouldBlockLocation running ...,35
17,"Releasing suspend blocker ""<*>"".",33
18,"Acquiring suspend blocker ""<*>"".",33
19,"acquire lock=<*>, flags=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",26
20,getRunningAppProcesses: caller <*> does not hold <*>; limiting output,24
21,Destroying surface Surface(name=<*>) called by <*>,24
22,"cancelNotification,index:<*>",23
23,cancelPeek: <*>,20
24,"cancelNotificationWithTag pid <*>,uid = <*>,tag = <*>,pkg =<*>,id =<*>",20
25,"notifyUiVisibilityChanged:vis=<*>, SystemUiVisibility=<*>",19
26,"release:lock=<*>, flg=<*>, tag=""<*>"", name=""<*>"", ws=<*>, uid=<*>, pid=<*>",15
27,interceptKeyTq keycode=<*> interactive=<*> keyguardActive=<*> policyFlags=<*> down <*> canceled <*>,14
28,"interceptKeyBeforeQueueing: key <*> , result : <*>",14
29,"getRecentTasks: num=<*>,flags=<*>,totalTasks=<*>",14
30,"overlapAmount:<*>, previousNotificationEnd:<*>, newYTranslation:<*>, location:<*>, i:<*>, getTopPadding:<*>, getLocationOnScreen():<*>",13
31,"state.clipTopAmount:<*>, i:<*>",13
32,"updateNotificationShade: total=<*>, active=<*>",13
33,closeQs,12
34,"release:lock=<*>, flg=<*>, tag=""<*>"", name=<*>, ws=<*>, uid=<*>, pid=<*>",11
35,The <*> caused us to need to do a <*> <*>,11
36,playSoundEffect effectType: <*>,10
37,getLastAudibleStreamVolume treamType: <*>,9
38,"animateCollapsePanels:flags=<*>, force=<*>, delayed=<*>, mExpandedVisible=<*>",8
39,getRecentTasks: topActivity=ComponentInfo<*>/<*>,8
40,"updateLightsLocked,mInCall =<*>,mScreenOn = <*>,ledNotification == <*>",6
41,"updateLightsLocked,turn off <*>",6
42,logNotificationVisibilityChanges <*> start,6
43,onNotificationVisibilityChanged called,6
44,logNotificationVisibilityChanges <*> <*> <*>,6
45,cleanUpApplicationRecord -- <*>,6
46,"cleanUpApplicationRecordLocked, pid: <*>, restart: <*>",6
47,"cleanUpApplicationRecordLocked, reset pid: <*>, euid: <*>",6
48,stopWifiDisplayScanLocked record.mWifiDisplayScanRequested=<*>,6
49,stopWifiDisplayScanLocked mWifiDisplayScanRequestCount=<*>,6
50,<*> is <*>,5
51,getNeighboringCellInfo calling app is <*>,5
52,"ActivityRecord info: ActivityInfo{<*> <*>}, euid: <*>",4
53,"Taking screenshot from Surface with crop:[<*>], width:[<*>], height:[<*>], minLayer:[<*>], maxLayer:[<*>], inRotation:[<*>], rot:[<*>]",4
54,makeExpandedInvisible: mExpandedVisible=<*>,4
55,"ActivityManagerService,attachApplication,callingPid = <*>",4
56,getRecentTasks: topActivity=ComponentInfo{<*>}/{<*>}},4
57,visible is <*>,3
58,"rotationForOrientationLw(orient=<*>, last=<*>); user=<*> <*>",3
59,"Application requested orientation <*>, got rotation <*> which has compatible metrics",3
60,disable: < expand <*> alerts <*> back home recent clock navigationbar search quick_settings >,3
61,registerCallback not in <*>.,3
62,android.util.AndroidRuntimeException: Must execute in UI,3
63,"onInterceptTouchEvent MotionEvent { action=<*>, actionButton=<*>, id[<*>]=<*>, x[<*>]=<*>, y[<*>]=<*>, toolType[<*>]=<*>, buttonState=<*>, metaState=<*>, flags=<*>, edgeFlags=<*>, pointerCount=<*>, historySize=<*>, eventTime=<*>, downTime=<*>, deviceId=<*>, source=<*> }, mBlockTouches=<*>",3
64,disable: <*>,3
65,"sending alarm Alarm{$<*> type $<*> when $<*> PendingIntent{$<*>: PendingIntentRecord{$<*> android broadcastIntent}}},repeatInterval = $<*>,listenerTag =$<*>",3
66,Received <*> alarm; rescheduling,3
67,scheduleTimeTickEvent triggerAtTime = <*>,3
68,received broadcast <*>,3
69,getAllCellInfo is blocked by permission manager . callingPackage = <*>,3
70,Skipping AppWindowToken{<placeholder> token=Token{<placeholder> ActivityRecord{<placeholder>}}} -- going to hide,2
71,"onTouchEvent::<*>, x=<*>, y=<*>",2
