,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:{port} open through proxy {proxy_address}:{proxy_port} {protocol},457
1,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",78
2,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime}>",46
3,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime <{lifetime}>",2
4,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes ({size}) received, lifetime <{time}>",19
5,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime {lifetime}",51
6,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
7,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime}>",17
8,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",29
9,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes received, lifetime {time}",32
10,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime <{lifetime}>",27
11,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",59
12,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",48
13,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime <{lifetime}>",2
14,"proxy.cse.cuhk.edu.hk:5070 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime {lifetime}",2
15,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",18
16,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime}>",4
17,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",4
18,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime}> sec",1
19,{ip_address}:{port} open through proxy {proxy_type}://{proxy_address}:{proxy_port} {protocol},2
20,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime <{lifetime} sec>",4
21,"tcpconn.{host}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime}>",1
22,tcpconn{num}.tencent.com:{port} {status} : {message},1
23,tcpconn{host}:{port} error : {error_message},1
24,"get.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{time} sec>",3
25,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
26,"{} close, {} bytes ({}), {} bytes ({}), lifetime {}",7
27,"{ip}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
28,{ip}:{port} open through proxy {proxy} {protocol},2
29,{host}:{port} open through proxy {proxy} {protocol},27
30,"tcpconn{conn_num}.{domain}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
31,{IP_ADDRESS}:443 open through proxy {PROXY_ADDRESS}:5070 HTTPS,1
32,"tcpconn{num}.{domain}:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{time}>",2
33,{source_host}:{source_port} open through proxy {proxy_host}:{proxy_port} {protocol},1
34,"tcpconn{conn_num}.tencent.com:{port} {status}, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
35,"cgi.{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime <{lifetime} sec>",1
36,{}:{} open through proxy {}:{} {},29
37,"qqmail.tencent.com:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
38,get.{domain}:{port} open through proxy {proxy} {protocol},13
39,"showxml.qq.com:{port} close, {sent} bytes sent, {received} bytes ({size}) received, lifetime <{time} sec>",1
40,"{}.flash2-http.qq.com:80 close, {} bytes sent, {} bytes ({}), lifetime <{} sec>",1
41, {host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},5
42,"{} close, {} bytes sent, {} bytes received, lifetime {}",5
43,oimage{server}.ydstatic.com:{port} error : {message},3
44," {website}:{port} error : {error_message} - Proxy server cannot establish a connection with the target, status code {status_code}",1
45,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",2
46,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} sent, {received_bytes} received, lifetime {duration}",2
47,"proxy.cse.cuhk.edu.hk:5070 {action}, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime {lifetime}",4
48,{server}:{port} open through proxy {proxy} {protocol},39
49,"{ip}:443 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
50,"{ip_address}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",2
51,"{ip_address}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
52,"BAYMSGR{int}.gateway.messenger.live.com:{int} close, {int} bytes ({float} KB) sent, {int} bytes ({float} KB) received, lifetime {time}",1
53,"{ip_address}:443 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
54,{:ip}:443 error : {:error_message} - Proxy closed the connection unexpectedly.,1
55,{} error : {}.,17
56,"{} close, {} bytes sent, {} bytes ({} KB) received, lifetime {}",2
57, {ip_address}:{port} {log_level} : {error_message} - {additional_info},2
58,oimagec{server}.ydstatic.com:{port} {status} : {message},1
59,oimage{server}.ydstatic.com:{port} {status} : {message},1
60,"oimageb7.ydstatic.com:80 {action}, {bytes_sent} bytes sent, {bytes_received} bytes ({size}) received, lifetime {lifetime}",1
61,oimage{var1}.ydstatic.com:{var2} error : {var3},2
62,"oimageb{server}.ydstatic.com:{port} close, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",1
63,"hostname:port close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
64,"oimagec{server}.ydstatic.com:{port} close, {sent} bytes sent, {received} bytes ({size}) received, lifetime {time}",1
65,www.{domain}:{port} open through proxy {proxy_type}://{proxy_host}:{proxy_port} {protocol},5
66,c.{server}:{port} open through proxy {proxy_type}://{proxy_server}:{proxy_port} {protocol},3
67,{source}:{port} open through proxy {proxy}:{proxy_port} {protocol},9
68,"www.{domain}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
69,{host}:{port} open through proxy {proxy_host}:{proxy_port} {protocol},112
70,"get.sogou.com:80 close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",2
71,"{:host}:{:port} close, {:bytes_sent} bytes sent, {:bytes_received} bytes received, lifetime {:lifetime}",7
72,"t{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",4
73,"sestat.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
74,comment.{id}.com:{port} open through proxy {proxy_host}:{proxy_port} {protocol},3
75,www.{website}:{port} open through proxy {proxy}:{proxy_port} {protocol},1
76,{host}:{port} open through proxy {proxy_type} {proxy_host}:{proxy_port} {protocol},2
77,"{:host}:80 close, {:sent} bytes sent, {:received} bytes received, lifetime {:lifetime}",5
78,"pos.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
79,"i{server_name}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",4
80,"xin.4399.cn:80 close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
81,"newsimg.{server}:80 close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
82,"comment.{server}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
83,"m.news.{domain}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {lifetime}",1
84,"www.{host}:{port} close, {sent} bytes sent, {received} bytes received, lifetime {time}",1
85,api.share.{domain}:{port} open through proxy {proxy_domain}:{proxy_port} {protocol},1
86,"{}:{} close, {} bytes ({}), sent, {} bytes ({}), received, lifetime {}",5
87,"www.googletagservices.com:443 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",1
88,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
89,"www.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
90,"{:host}:443 close, {:sent} bytes sent, {:received} bytes ({:size}) received, lifetime {:time}",8
91,{server}:443 open through proxy {proxy}:5070 HTTPS,3
92,"odr.mookie1.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime {lifetime}",1
93,"safebrowsing.googleapis.com:443 {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
94,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",5
95,"d.dropbox.com:443 close, {bytes_sent} bytes sent, {bytes_received} bytes ({kb_received} KB) received, lifetime {lifetime}",2
96,"clients{client_number}.google.com:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",13
97,"{} close, {} bytes ({}), sent, {} bytes ({}), received, lifetime {}",13
98,"odr.mookie1.com:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
99,{} open through proxy {}:{} {},26
100,"r{server}:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",1
101,t{server}:{port} open through proxy {proxy} {protocol},20
102,"c.{hostname}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
103,"t{server_name}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",5
104,"{:host}:{:port} close, {:sent} bytes sent, {:received} bytes received, lifetime {:lifetime}",7
105,"pos.{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
106,"i{server}:80 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",3
107,"f{server}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",4
108,"suggestion.{domain}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",2
