,EventTemplate,Occurrences
0,proxy.cse.cuhk.edu.hk:<*> open through proxy <*> <*>,457
1,<*> open through proxy <*> <*>,337
2,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes received, lifetime <*>",174
3,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> sent, <*> received, lifetime <*>",80
4,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",65
5,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",63
6,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",61
7,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",52
8,"<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",23
9,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",20
10,"www.<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",19
11,"<*> close, <*> bytes (<*>), sent, <*> bytes (<*>), received, lifetime <*>",18
12,<*> error : <*>.,17
13,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",16
14,api.<*> open through proxy <*> <*>,14
15,<*> open through proxy <*> HTTPS,13
16,get.<*> open through proxy <*> <*>,13
17,"block.dropbox.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",12
18,"api.<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",11
19,www.<*> open through proxy <*> <*>,10
20,<*> open through proxy <*>: <*>,10
21,<*> error : Could not connect to proxy <*> - connection attempt failed with error <*>,10
22,"<*> close, <*> bytes (<*>), <*> bytes (<*>), lifetime <*>",9
23,"<*>.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",8
24,"<*> close, <*> bytes sent, <*> bytes (<*> KB) received, lifetime <*>",7
25,"client-<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",7
26,f-log-extension.grammarly.io:<*> open through proxy <*> HTTPS,7
27,"www.evernote.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",7
28,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes sent, <*> bytes (<*>), lifetime <*>",6
29,www.<*> open through proxy <*>://<*> <*>,6
30,"mtalk.google.com:<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>",6
31,"<*> close, <*> bytes sent, <*> bytes (<*>) received, lifetime <*> sec>",6
32,<*> error : <*> - connection attempt failed with error <*>,6
33,<*>.ydstatic.com:<*> error : <*>,5
34,"www.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",5
35,"safebrowsing.googleapis.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",5
36,"short.weixin.qq.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",5
37,long.<*> open through proxy <*> <*>,5
38,"security.ie.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",5
39,info.<*> open through proxy <*>://<*> <*>,5
40,"proxy.cse.cuhk.edu.hk:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*> sec>",4
41,"get.sogou.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",4
42,<*> <*> : <*>,4
43,"info.<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",4
44,www.<*> <*> through proxy <*> <*>,4
45,"long.open.weixin.qq.com:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",4
46,notifications.google.com:<*> open through proxy <*> <*>,4
47,"user-images.githubusercontent.com:<*> <*>, <*> bytes sent, <*> bytes (<*>) received, lifetime <*>",4
48,"d.dropbox.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",4
49,"client-<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",4
50,www.<*> error : <*> - connection attempt failed with error <*>,4
51,"get.<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",3
52,c.<*> open through proxy <*>://<*> <*>,3
53,comment.<*>.com:<*> open through proxy <*> <*>,3
54,<*> open through proxy <*> <*> <*>,3
55,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*> sec>",3
56,"mtalk.google.com:<*> close, <*> bytes sent, <*> bytes received, lifetime <*>",3
57,collector.<*> open through proxy <*> <*>,3
58,"www.googleapis.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
59,collector.<*> open through proxy <*>://<*> <*>,3
60,"<*> close, <*> bytes (<*> KB) sent, <*> bytes received, lifetime <*>",3
61,"f-log-extension.grammarly.io:<*> <*>, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
62,"<*> <*>, <*> bytes sent, <*> bytes (<*>), lifetime <*>",3
63,"play.google.com:<*> close, <*> bytes (<*> KB) sent, <*> bytes (<*> KB) received, lifetime <*>",3
