,EventTemplate,Occurrences
0,session closed for user {username},24
1,session opened for user {username} by (uid={uid}),19
2,(root) CMD (run-parts /etc/cron.hourly),14
3,data_thread() got not answer from any [{datasource}],815
4,"synchronized to {address}, stratum {stratum}",530
5,[ib_sm_sweep.c:1831]: ********************** NEW SWEEP ********************,62
6,[ib_sm_sweep.c:1455]: {message},47
7,[ib_sm_sweep.c:1482]: {message},62
8,Local disconnected: Connection closed.,3
9,connection lost: '{reason}',3
10,unable to qualify my own domain name ({domain_name}) -- using short name,10
11,"jA9J1UvC004306: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
12,"jA9J1UvC004306: to=root, ctladdr=root (0/0), delay={delay}, xdelay={xdelay}, mailer=relay, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
13,"jA9J1Wd7019391: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
14,"jA9J1Wd7019391: to=root, ctladdr=root (0/0), delay={delay}, xdelay={xdelay}, mailer=relay, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
15,"jA9J1WSU011176: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
16,"jA9J1WSU011176: to=root, ctladdr=root (0/0), delay={delay}, xdelay={xdelay}, mailer=relay, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
17,"jA9J1WFE024258: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
18,"jA9J1WFE024258: to={to}, ctladdr={ctladdr} ({ctladdr_status}), delay={delay}, xdelay={xdelay}, mailer={mailer}, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
19,DHCPDISCOVER from {address} via eth1,5
20,DHCPOFFER on {ip_address} to {mac_address} via eth1,5
21,"jA9J1dQ7016560: from={sender}, size={size}, class={class}, nrcpts={nrcpts}, msgid={msgid}, relay={relay}",1
22,"jA9J1dQ7016560: to=root, ctladdr=root (0/0), delay={delay}, xdelay={xdelay}, mailer=relay, pri={pri}, relay=[{relay_ip}] [{relay_hostname}], dsn={dsn}, stat={stat}",1
23,DHCPDISCOVER from {address} via eth1: network {network}: {message},15
24,"synchronized to {address}, stratum {number}",36
25,[ib_sm_sweep.c:1455]: No topology change,15
26,DHCPACK on {ip} to {address} via eth1,3
27,DHCPREQUEST for {address} ({server}) from {mac} via {interface},3
28,START: tftp pid={pid} from={address},1
29,DHCPREQUEST for {address} ({server}) from {mac} via {interface}: {message},9
30,data_thread() got not answer from any [{datasource}] datasource,4
31,RRD_update ({rrd_path}): illegal attempt to update using time {time} when last update time is {last_time} (minimum one second step),7
32,kernel time sync disabled 0041,1
33,time reset {time} s,1
34,Received SNMP packet(s) from #{number}#,1
35,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time {time} when last update time is {time} (minimum one second step),1
36,"synchronized to LOCAL(0), stratum 10",1
37,kernel time sync enabled {value},1
38,"synchronized to #{number}#, stratum {number}",1
39,(root) CMD ({command}),1
40,(root) CMD ({command} b),1
41,(root) CMD ({command} c),1
42,(root) CMD ({command} {option}),1
43,(root) CMD ({command} e),1
44,RRD_update (/var/lib/ganglia/rrds/D Nodes/dn731/pkts_out.rrd): illegal attempt to update using time {time} when last update time is {last_time} (minimum one second step),2
45,My unqualified host name ({hostname}) unknown; sleeping for retry,5
46,CentOS-4 (Kernel Module GPG key),1
47,(supports {state1} {state2} {state3}),1
