,EventTemplate,Occurrences
0,{host} open through proxy {proxy_server} HTTPS,457
1,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",150
2,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",86
3,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",24
4,"{host} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",117
5,"{host} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",29
6,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",38
7,"{host} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",60
8,"{host} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",25
9,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime <{lifetime}> sec",1
10,{ip_address} open through proxy {host} SOCKS5,2
11,"{host} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",4
12,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",19
13,{host} error : A connection request was canceled before the completion.,1
14,{host}:{port} error : Could not connect through proxy {proxy_server} - Proxy closed the connection unexpectedly.,2
15,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime}> sec",2
16,"{ip_address}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
17,{ip_address}:{port} open through proxy {host} {protocol},6
18,{host}:{port} open through proxy {proxy_server} {protocol},402
19,{host}:443 open through proxy {proxy_server} HTTPS,81
20,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",63
21,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb} KB) received, lifetime <{lifetime} sec>",6
22,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({size}), lifetime {lifetime}",1
23,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",75
24,{host}:{port} error : A connection request was canceled before the completion.,5
25,"{host} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",10
26,"{ip_address}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes received, lifetime {lifetime}",1
27,"{ip_address}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime {lifetime}",4
28,"{host}:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",5
29,{ip_address}:{port} error : Could not connect through proxy {proxy_server} - Proxy closed the connection unexpectedly.,1
30,"{host} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime {lifetime}",1
31,{host}:80 error : A connection request was canceled before the completion.,12
32,"{ip_address}:{port} error : Could not connect through proxy {proxy_server} - Proxy server cannot establish a connection with the target, status code {code}",3
33,{host}:{port} error : {message},10
34,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({received_kb}), lifetime {lifetime}",1
35,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",125
36,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",29
37,"{host}:{port} close, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}) received, lifetime {lifetime}",9
38,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({size}), lifetime {lifetime}",7
39,"{host}:443 close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_mb} MB) received, lifetime {lifetime}",5
40,"{host}:{port} close, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",1
41,"{host}:{port} {status}, {sent_bytes} bytes sent, {received_bytes} bytes received, lifetime <{lifetime} sec>",14
42,"{host}:{port} {status}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",20
43,"{host}:{port} {status}, {sent_bytes} bytes sent, {received_bytes} bytes ({size}), lifetime {lifetime}",5
44,"{host}:{port} {status}, {bytes_sent} bytes sent, {bytes_received} bytes ({size_received}), lifetime {lifetime}",1
45,{host}:443 open through proxy {proxy_server}:5070 HTTPS,5
46,"{host} close, {bytes_sent} bytes sent, {bytes_received} bytes ({kilobytes_received} KB) received, lifetime <{lifetime} sec>",1
47,"{host}:{port} {status}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes received, lifetime {lifetime}",2
48,"{host}:{port} close, {sent_bytes} bytes sent, {received_bytes} bytes ({size}) received, lifetime {lifetime}",3
49,"{host}:{port} {action}, {sent_bytes} bytes ({sent_kb} KB) sent, {received_bytes} bytes ({received_kb} KB) received, lifetime {lifetime}",1
