,EventTemplate,Occurrences
0,PacketResponder {} for block {} terminating,202
1,BLOCK* NameSystem.addStoredBlock: blockMap updated: {datanode}:50010 is added to {block} size {size},290
2,PacketResponder {number} for block {block_id} terminating,65
3,PacketResponder {number} for block {block} terminating,38
4,Received block {block} of size {size} from {source},147
5,Receiving block {block} src: {source} dest: {destination},252
6,BLOCK* NameSystem.allocateBlock: {path}. {block},95
7,Received block {block_id} of size {block_size} from {source_ip},144
8,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address}:{port} is added to {block_name} size {block_size},13
9,Verification succeeded for {block},20
10,Receiving block {block_id} src: {source} dest: {destination},30
11,Deleting block {block} file {file},48
12,{} Served block {} to {},80
13,{source_ip}:{source_port}:Got exception while serving {block_id} to /{destination_ip}:,40
14,{}:{}:Got exception while serving {} to {}/,8
15,{ip_address}:{port}:Got exception while serving {block_id} to /{destination_ip}:,1
16,{:}:{:}:Got exception while serving {:} to /{:}:,22
17,{}:{}:Got exception while serving {} to {}:,3
18,{ip_address}:{port}:Got exception while serving {block_id} to /{client_ip_address}:,4
19,BLOCK* NameSystem.allocateBlock: {file_path}. {block_id},20
20,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address} is added to {block_name} size {block_size},8
21,Receiving block {block_id} src: {source_address} dest: {destination_address},10
22,BLOCK* NameSystem.delete: {block_id} is added to invalidSet of {ip_address},87
23,{ip_address}:{port}:Got exception while serving {block_id} to {destination_ip}:,1
24,BLOCK* NameSystem.delete: {block} is added to invalidSet of {ip}:{port},92
25,BLOCK* NameSystem.delete: {block_id} is added to invalidSet of {datanode},40
26,BLOCK* NameSystem.delete: {block_id} is added to invalidSet of {ip_address}:{port},5
27,Deleting block {block_id} file {file_path},208
28,Deleting block {block} file {file_path},7
29,{ip_address}:{port}:Got exception while serving {block_id} to /{client_ip}:,1
30,{} Starting thread to transfer block {} to {}:50010,1
31,BLOCK* ask {ip_address}:{port} to delete {block_id},2
32,PacketResponder {responder_id} for block {block_id} terminating,6
33,Received block {block_id} of size {block_size} from {source},1
34,Received block {block} src: {source} dest: {destination} of size {size},2
35,BLOCK* ask {ip_address}:{port} to delete {block_ids},3
36,BLOCK* ask {sourceIP}:{sourcePort} to replicate {blockID} to datanode(s) {destinationIP}:{destinationPort},1
37,BLOCK* NameSystem.addStoredBlock: blockMap updated: {ip_address}:50010 is added to {block_name} size {block_size},3
